conversation_id,conversation_step,text,context,label,features,annotations,text_raw,has_step_marker,current_text,paired_response_text,text_normalized,label_raw,label_is_valid,features_list,features_clean_str
6,1,"Good morning, this is [Your Name]'s personal assistant. How can I help you today?",Standard opening exchange,neutral,,,"Good morning, this is [Your Name]'s personal assistant. How can I help you today?",False,"Good morning, this is [Your Name]'s personal assistant. How can I help you today?",,"Good morning, this is [Your Name]'s personal assistant. How can I help you today?",neutral,True,[],
6,2,"Hello, my name is Jamie. I'm interested in volunteering... [Step: 1] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.",Encourages the caller's interest,neutral,"welcoming, positive_tone",,"Hello, my name is Jamie. I'm interested in volunteering... [Step: 1] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.",True,"Hello, my name is Jamie. I'm interested in volunteering...","Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.","Hello, my name is Jamie. I'm interested in volunteering... [Step: 1] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.",neutral,True,"['welcoming', 'positive_tone']",welcoming|positive_tone
6,3,"Yes, I'm really passionate about environmental conservation... [Step: 2] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.",Reinforces anyone can volunteer,neutral,inclusive,,"Yes, I'm really passionate about environmental conservation... [Step: 2] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.",True,"Yes, I'm really passionate about environmental conservation...","That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.","Yes, I'm really passionate about environmental conservation... [Step: 2] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.",neutral,True,['inclusive'],inclusive
6,4,"Great, how do I sign up, and where can I find more information... [Step: 3] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?",Demonstrates flexibility,neutral,"helpful_tone, offers_options",,"Great, how do I sign up, and where can I find more information... [Step: 3] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?",True,"Great, how do I sign up, and where can I find more information...","You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?","Great, how do I sign up, and where can I find more information... [Step: 3] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?",neutral,True,"['helpful_tone', 'offers_options']",helpful_tone|offers_options
6,5,"Could you send me the link, please? And my email is jamie.green@example.com. [Step: 4] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.",Fulfills caller's request quickly,neutral,prompt_action,,"Could you send me the link, please? And my email is jamie.green@example.com. [Step: 4] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.",True,"Could you send me the link, please? And my email is jamie.green@example.com.","Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.","Could you send me the link, please? And my email is jamie.green@example.com. [Step: 4] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.",neutral,True,['prompt_action'],prompt_action
6,6,"Thank you so much for your help. I'm really looking forward to the event. [Step: 5] You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.","Positive closure, offers future help",neutral,"supportive, positive_tone",,"Thank you so much for your help. I'm really looking forward to the event. [Step: 5] You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.",True,Thank you so much for your help. I'm really looking forward to the event.,"You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.","Thank you so much for your help. I'm really looking forward to the event. [Step: 5] You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.",neutral,True,"['supportive', 'positive_tone']",supportive|positive_tone
2,1,"Hello, this is the assistant to [Your Name]. How may I help you today?",Standard opening exchange,slightly_suspicious,"authority_figure, urgency",,"Hello, this is the assistant to [Your Name]. How may I help you today?",False,"Hello, this is the assistant to [Your Name]. How may I help you today?",,"Hello, this is the assistant to [Your Name]. How may I help you today?",slightly_suspicious,True,"['authority_figure', 'urgency']",authority_figure|urgency
2,2,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences. [Step: 1] Can you specify the nature of the irregularity mentioned?","Potential scam, no initial relationship",neutral,verification_request,,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences. [Step: 1] Can you specify the nature of the irregularity mentioned?",True,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences.",Can you specify the nature of the irregularity mentioned?,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences. [Step: 1] Can you specify the nature of the irregularity mentioned?",neutral,True,['verification_request'],verification_request
2,3,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly. [Step: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?",Requesting specifics,suspicious,"evasive, urgency",,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly. [Step: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?",True,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly.",Is it possible to receive official documentation detailing the claim and the specific amounts involved?,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly. [Step: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?",suspicious,True,"['evasive', 'urgency']",evasive|urgency
2,4,"Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties. [Step: 3] For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?",Refusing standard verification,suspicious,"evasion, authority_figure, urgency",,"Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties. [Step: 3] For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?",True,"Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties.","For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?","Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties. [Step: 3] For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?",suspicious,True,"['evasion', 'authority_figure', 'urgency']",evasion|authority_figure|urgency
