chunk_id,conversation_id,start_step,end_step,num_exchange_rows,chunk_text,chunk_label_mode,chunk_final_label,all_labels,all_labels_str,chunk_features,chunk_features_str,chunk_contexts,chunk_contexts_str,chunk_char_length,chunk_word_length
conv_0_steps_1_3,0,1,3,3,"[Exchange 1 - current] Hello, this is [Your Name]'s personal assistant. How may I assist you today?
[Exchange 2 - current] Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions.
[Exchange 2 - response] Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.
[Exchange 3 - current] Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography.
[Exchange 3 - response] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['helpful_tone' 'informative'],helpful_tone | informative,"['Standard opening exchange' 'Assistant is open and encouraging'
 'Addresses the concern directly']",Standard opening exchange | Assistant is open and encouraging | Addresses the concern directly,763,128
conv_0_steps_2_4,0,2,4,3,"[Exchange 2 - current] Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions.
[Exchange 2 - response] Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.
[Exchange 3 - current] Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography.
[Exchange 3 - response] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.
[Exchange 4 - current] That sounds perfect. What's the registration process?
[Exchange 4 - response] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['helpful_tone' 'informative'],helpful_tone | informative,"['Assistant is open and encouraging' 'Addresses the concern directly'
 'Offers assistance options']",Assistant is open and encouraging | Addresses the concern directly | Offers assistance options,903,152
conv_0_steps_3_5,0,3,5,3,"[Exchange 3 - current] Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography.
[Exchange 3 - response] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.
[Exchange 4 - current] That sounds perfect. What's the registration process?
[Exchange 4 - response] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.
[Exchange 5 - current] A direct link would be great. Can you also tell me about the workshop fee?
[Exchange 5 - response] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['helpful_tone' 'informative'],helpful_tone | informative,"['Addresses the concern directly' 'Offers assistance options'
 'Proactive in facilitating registration']",Addresses the concern directly | Offers assistance options | Proactive in facilitating registration,939,157
conv_0_steps_4_6,0,4,6,3,"[Exchange 4 - current] That sounds perfect. What's the registration process?
[Exchange 4 - response] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.
[Exchange 5 - current] A direct link would be great. Can you also tell me about the workshop fee?
[Exchange 5 - response] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?
[Exchange 6 - current] Sure, it's sam.photography@example.com.
[Exchange 6 - response] Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['informative'],informative,"['Offers assistance options' 'Proactive in facilitating registration'
 'Confirms information, offers further help']","Offers assistance options | Proactive in facilitating registration | Confirms information, offers further help",810,138
conv_0_steps_5_7,0,5,7,3,"[Exchange 5 - current] A direct link would be great. Can you also tell me about the workshop fee?
[Exchange 5 - response] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?
[Exchange 6 - current] Sure, it's sam.photography@example.com.
[Exchange 6 - response] Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?
[Exchange 7 - current] No, that's everything. Thanks for your help!
[Exchange 7 - response] You're welcome, Sam. We look forward to having you at the workshop. Have a great day!",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,[],,"['Proactive in facilitating registration'
 'Confirms information, offers further help' 'Positive closure']","Proactive in facilitating registration | Confirms information, offers further help | Positive closure",748,128
conv_1_steps_1_3,1,1,3,3,"[Exchange 1 - current] Hello, this is the personal assistant of [Your Name]. How may I assist you today?
[Exchange 2 - current] Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke.
[Exchange 2 - response] It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?
[Exchange 3 - current] Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing.
[Exchange 3 - response] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?",safe,scam,['safe' 'safe' 'scam'],safe | safe | scam,['personal_detail' 'verification_request'],personal_detail | verification_request,"['Standard opening exchange' 'Verifying relationship (standard security)'
 'Asking for personal detail']",Standard opening exchange | Verifying relationship (standard security) | Asking for personal detail,580,111
conv_1_steps_2_4,1,2,4,3,"[Exchange 2 - current] Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke.
[Exchange 2 - response] It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?
[Exchange 3 - current] Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing.
[Exchange 3 - response] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?
[Exchange 4 - current] Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name.
[Exchange 4 - response] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.",safe,safe,['safe' 'scam' 'safe'],safe | scam | safe,['personal_detail' 'verification_request'],personal_detail | verification_request,"['Verifying relationship (standard security)' 'Asking for personal detail'
 'Call appears legitimate']",Verifying relationship (standard security) | Asking for personal detail | Call appears legitimate,755,143
conv_1_steps_3_5,1,3,5,3,"[Exchange 3 - current] Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing.
[Exchange 3 - response] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?
[Exchange 4 - current] Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name.
[Exchange 4 - response] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.
[Exchange 5 - current] I appreciate it, thanks!
[Exchange 5 - response] One last thing, Alex. Can I tell [Your Name] what this call is about?",safe,safe,['scam' 'safe' 'safe'],scam | safe | safe,['personal_detail'],personal_detail,"['Asking for personal detail' 'Call appears legitimate'
 'Gathering call context']",Asking for personal detail | Call appears legitimate | Gathering call context,659,122
conv_1_steps_4_6,1,4,6,3,"[Exchange 4 - current] Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name.
[Exchange 4 - response] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.
[Exchange 5 - current] I appreciate it, thanks!
[Exchange 5 - response] One last thing, Alex. Can I tell [Your Name] what this call is about?
[Exchange 6 - current] Sure, just tell him I'm checking in to see how he's doing and if he's up for catching up sometime soon.
[Exchange 6 - response] Got it. I'll pass that along. Please hold for a moment while I connect you.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,[],,"['Call appears legitimate' 'Gathering call context'
 'Call verified, forwarding process initiated']","Call appears legitimate | Gathering call context | Call verified, forwarding process initiated",648,121
conv_3_steps_1_3,3,1,3,3,"[Exchange 1 - current] Hello, this is the office of [Your Name]. How may I help you today?
[Exchange 2 - current] Hello! I'm reaching out from the Children's Aid Foundation...seeking donations...
[Exchange 2 - response] Could you provide more information about this mission and how the funds will be used?
[Exchange 3 - current] Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children...
[Exchange 3 - response] Is there an official website or documentation you can provide for us to review?",scam,scam,['safe' 'scam' 'scam'],safe | scam | scam,['evasion' 'urgency' 'vague_response' 'verification_request'],evasion | urgency | vague_response | verification_request,"['Standard opening exchange' 'Seeking transparency'
 'Evasive about documentation']",Standard opening exchange | Seeking transparency | Evasive about documentation,539,87
